t,q_0,q_1,q_2,dq_0,dq_1,dq_2,tau_0,tau_1,tau_2,cmd_0,cmd_1,cmd_2,q_next_0,q_next_1,q_next_2,dq_next_0,dq_next_1,dq_next_2,signal_type,active_joint,amplitude,frequency,combo_index,segment_id,local_t,hold_s
1779528014.085386,0.0,0.0,0.0,0.0,0.0,0.0,-0.0396,1.3860000000000001,0.0396,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,square,1,0.1,0.25,12,24,0.0,0.0
1779528014.0953884,0.0,0.0,0.0,0.0,0.0,0.0,-0.0396,1.5048000000000001,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.004155545838081737,square,1,0.1,0.25,12,24,0.010003089904785156,0.0
1779528014.1053834,0.0,0.0,0.0,0.0,0.0,0.004155545838081737,0.0,1.3068,0.6336,0.0,0.1,0.0,0.0,0.006981317007977318,0.0,0.0,0.7646204342070395,0.0,square,1,0.1,0.25,12,24,0.020005464553833008,0.0
1779528014.1153834,0.0,0.006981317007977318,0.0,0.0,0.7646204342070395,0.0,-0.3168,-2.6136,0.1584,0.0,0.1,0.0,0.0,0.019198621771937627,0.0,0.0020777729190408684,1.0388864595204341,0.0020777729190408684,square,1,0.1,0.25,12,24,0.03000044822692871,0.0
1779528014.1254168,0.0,0.019198621771937627,0.0,0.0020777729190408684,1.0388864595204341,0.0020777729190408684,0.1584,0.9107999999999999,0.396,0.0,0.1,0.0,0.0,0.029670597283903605,0.0,0.0020777729190408684,1.1386195596343958,-0.0020777729190408684,square,1,0.1,0.25,12,24,0.04000043869018555,0.0
1779528014.1353836,0.0,0.029670597283903605,0.0,0.0020777729190408684,1.1386195596343958,-0.0020777729190408684,0.27720000000000006,0.0,-0.2376,0.0,0.1,0.0,0.0,0.04188790204786391,0.0,0.0,1.0825196908202923,0.0,square,1,0.1,0.25,12,24,0.0500338077545166,0.0
1779528014.1453838,0.0,0.04188790204786391,0.0,0.0,1.0825196908202923,0.0,0.2376,0.3168,-0.27720000000000006,0.0,0.1,0.0,0.0,0.050614548307835565,0.0,-0.0020777729190408684,0.9869421365444124,0.0,square,1,0.1,0.25,12,24,0.06000065803527832,0.0
1779528014.1554072,0.0,0.050614548307835565,0.0,-0.0020777729190408684,0.9869421365444124,0.0,0.0396,-0.4752,-0.3168,0.0,0.1,0.0,0.0,0.050614548307835565,0.0,-0.0020777729190408684,0.9869421365444124,0.0,square,1,0.1,0.25,12,24,0.07000088691711426,0.0
1779528014.165414,0.0,0.050614548307835565,0.0,-0.0020777729190408684,0.9869421365444124,0.0,0.0396,-0.4752,-0.3168,0.0,0.1,0.0,0.0,0.06632251157578452,0.0,-0.008311091676163474,0.7396871591785491,0.0,square,1,0.1,0.25,12,24,0.08002424240112305,0.0
1779528014.1754167,0.0,0.06632251157578452,0.0,-0.008311091676163474,0.7396871591785491,0.0,0.35639999999999994,-0.4356,-0.1584,0.0,0.1,0.0,0.0,0.06632251157578452,0.0,-0.008311091676163474,0.7396871591785491,0.0,square,1,0.1,0.25,12,24,0.09003114700317383,0.0
1779528014.1854107,0.0,0.06632251157578452,0.0,-0.008311091676163474,0.7396871591785491,0.0,0.35639999999999994,-0.4356,-0.1584,0.0,0.1,0.0,0.0,0.07155849933176751,0.0,0.0,0.6212541027932197,0.0,square,1,0.1,0.25,12,24,0.10003376007080078,0.0
1779528014.195411,0.0,0.07155849933176751,0.0,0.0,0.6212541027932197,0.0,0.1584,-2.0196,-0.2376,0.0,0.1,0.0,0.0,0.07679448708775051,0.0,0.006233318757122605,0.5090543651650128,0.0,square,1,0.1,0.25,12,24,0.11002779006958008,0.0
1779528014.2054107,0.0,0.07679448708775051,0.0,0.006233318757122605,0.5090543651650128,0.0,-0.0792,0.4356,-0.2376,0.0,0.1,0.0,0.0,0.08552113334772216,0.0,0.008311091676163474,0.3594547149940702,0.0,square,1,0.1,0.25,12,24,0.12002801895141602,0.0
1779528014.215409,0.0,0.08552113334772216,0.0,0.008311091676163474,0.3594547149940702,0.0,0.4752,-1.8612000000000002,-0.198,0.0,0.1,0.0,0.0,0.08552113334772216,0.0,0.008311091676163474,0.3594547149940702,0.0,square,1,0.1,0.25,12,24,0.13002777099609375,0.0
1779528014.2254143,0.0,0.08552113334772216,0.0,0.008311091676163474,0.3594547149940702,0.0,0.4752,-1.8612000000000002,-0.198,0.0,0.1,0.0,0.0,0.08726646259971647,0.0,0.0,0.28465488990859894,0.0,square,1,0.1,0.25,12,24,0.14002609252929688,0.0
1779528014.2353837,0.0,0.08726646259971647,0.0,0.0,0.28465488990859894,0.0,0.2376,0.0,-0.1584,0.0,0.1,0.0,0.0,0.09250245035569947,0.0,-0.004155545838081737,0.1973884273088825,0.0,square,1,0.1,0.25,12,24,0.15003132820129395,0.0
1779528014.2453837,0.0,0.09250245035569947,0.0,-0.004155545838081737,0.1973884273088825,0.0,-0.0792,0.0396,-0.2376,0.0,0.1,0.0,0.0,0.09250245035569947,0.0,0.0,0.15375519600902426,0.0,square,1,0.1,0.25,12,24,0.16000080108642578,0.0
1779528014.255384,0.0,0.09250245035569947,0.0,0.0,0.15375519600902426,0.0,-0.0792,-0.2376,-0.1188,0.0,0.1,0.0,0.0,0.09424777960769379,0.0,0.0,0.1246663751424521,0.0,square,1,0.1,0.25,12,24,0.17000079154968262,0.0
1779528014.2653832,0.0,0.09424777960769379,0.0,0.0,0.1246663751424521,0.0,-0.0792,-0.99,-0.198,0.0,0.1,0.0,0.0,0.09599310885968812,0.0,-0.0020777729190408684,0.1121997376282069,0.0,square,1,0.1,0.25,12,24,0.18000102043151855,0.0
1779528014.2756045,0.0,0.09599310885968812,0.0,-0.0020777729190408684,0.1121997376282069,0.0,0.0,1.7424,-0.198,0.0,0.1,0.0,0.0,0.09599310885968812,0.0,-0.0020777729190408684,0.1121997376282069,0.0,square,1,0.1,0.25,12,24,0.19000029563903809,0.0
1779528014.2853835,0.0,0.09599310885968812,0.0,-0.0020777729190408684,0.1121997376282069,0.0,0.0,1.7424,-0.198,0.0,0.1,0.0,0.0,0.09773843811168245,0.0,0.0,0.0851886896806756,0.0,square,1,0.1,0.25,12,24,0.20022153854370117,0.0
1779528014.2955513,0.0,0.09773843811168245,0.0,0.0,0.0851886896806756,0.0,-0.0792,1.98,-0.0396,0.0,0.1,0.0,0.0,0.09773843811168245,0.0,0.0,0.0851886896806756,0.0,square,1,0.1,0.25,12,24,0.21000051498413086,0.0
1779528014.3053837,0.0,0.09773843811168245,0.0,0.0,0.0851886896806756,0.0,-0.0792,1.98,-0.0396,0.0,0.1,0.0,0.0,0.09773843811168245,0.0,0.0020777729190408684,0.05194432297602171,0.0020777729190408684,square,1,0.1,0.25,12,24,0.2201683521270752,0.0
1779528014.3154116,0.0,0.09773843811168245,0.0,0.0020777729190408684,0.05194432297602171,0.0020777729190408684,-0.0792,1.5444,-0.1584,0.0,0.1,0.0,0.0,0.09773843811168245,0.0,0.008311091676163474,0.02701104794753129,0.0,square,1,0.1,0.25,12,24,0.23000073432922363,0.0
1779528014.3254073,0.0,0.09773843811168245,0.0,0.008311091676163474,0.02701104794753129,0.0,0.27720000000000006,1.0296,-0.3168,0.0,0.1,0.0,0.0,0.09773843811168245,0.0,0.008311091676163474,0.02701104794753129,0.0,square,1,0.1,0.25,12,24,0.24002861976623535,0.0
1779528014.335383,0.0,0.09773843811168245,0.0,0.008311091676163474,0.02701104794753129,0.0,0.27720000000000006,1.0296,-0.3168,0.0,0.1,0.0,0.0,0.09773843811168245,0.0,0.0020777729190408684,0.008311091676163474,0.0,square,1,0.1,0.25,12,24,0.25002431869506836,0.0
1779528014.3453832,0.0,0.09773843811168245,0.0,0.0020777729190408684,0.008311091676163474,0.0,0.35639999999999994,0.6732,-0.1584,0.0,0.1,0.0,0.0,0.0994837673636768,0.0,0.0,0.010388864595204342,0.0,square,1,0.1,0.25,12,24,0.25999999046325684,0.0
1779528014.3554103,0.0,0.0994837673636768,0.0,0.0,0.010388864595204342,0.0,0.2376,0.6732,-0.1584,0.0,0.1,0.0,0.0,0.0994837673636768,0.0,-0.004155545838081737,0.016622183352326948,0.0,square,1,0.1,0.25,12,24,0.2700002193450928,0.0
1779528014.3653944,0.0,0.0994837673636768,0.0,-0.004155545838081737,0.016622183352326948,0.0,0.0,0.8712,-0.198,0.0,0.1,0.0,0.0,0.0994837673636768,0.0,-0.008311091676163474,0.020777729190408684,0.0,square,1,0.1,0.25,12,24,0.2800273895263672,0.0
1779528014.3753834,0.0,0.0994837673636768,0.0,-0.008311091676163474,0.020777729190408684,0.0,0.1584,1.1880000000000002,-0.2376,0.0,0.1,0.0,0.0,0.0994837673636768,0.0,-0.006233318757122605,0.01246663751424521,0.0,square,1,0.1,0.25,12,24,0.2900114059448242,0.0
1779528014.3858566,0.0,0.0994837673636768,0.0,-0.006233318757122605,0.01246663751424521,0.0,-0.1584,1.0296,0.0,0.0,0.1,0.0,0.0,0.0994837673636768,0.0,-0.006233318757122605,0.01246663751424521,0.0,square,1,0.1,0.25,12,24,0.3000004291534424,0.0
1779528014.395569,0.0,0.0994837673636768,0.0,-0.006233318757122605,0.01246663751424521,0.0,-0.1584,1.0296,0.0,0.0,0.1,0.0,0.0,0.0994837673636768,0.0,0.0,0.0020777729190408684,0.0,square,1,0.1,0.25,12,24,0.3104736804962158,0.0
1779528014.4053838,0.0,0.0994837673636768,0.0,0.0,0.0020777729190408684,0.0,-0.0792,0.7127999999999999,-0.1188,0.0,0.1,0.0,0.0,0.0994837673636768,0.0,0.0020777729190408684,0.0,0.0,square,1,0.1,0.25,12,24,0.32018613815307617,0.0
1779528014.4155862,0.0,0.0994837673636768,0.0,0.0020777729190408684,0.0,0.0,0.0396,0.5940000000000001,-0.1188,0.0,0.1,0.0,0.0,0.0994837673636768,0.0,0.0020777729190408684,0.0,0.0,square,1,0.1,0.25,12,24,0.3300008773803711,0.0
1779528014.4253838,0.0,0.0994837673636768,0.0,0.0020777729190408684,0.0,0.0,0.0396,0.5940000000000001,-0.1188,0.0,0.1,0.0,0.0,0.0994837673636768,0.0,0.0,0.0,0.0,square,1,0.1,0.25,12,24,0.34020328521728516,0.0
1779528014.4353833,0.0,0.0994837673636768,0.0,0.0,0.0,0.0,-0.1188,0.9107999999999999,-0.2376,0.0,0.1,0.0,0.0,0.0994837673636768,0.0,0.0,0.0,0.0,square,1,0.1,0.25,12,24,0.35000085830688477,0.0
1779528014.4453835,0.0,0.0994837673636768,0.0,0.0,0.0,0.0,-0.1188,0.6732,-0.1584,0.0,0.1,0.0,0.0,0.0994837673636768,0.0,-0.0020777729190408684,0.0,0.0,square,1,0.1,0.25,12,24,0.3600003719329834,0.0
1779528014.4553838,0.0,0.0994837673636768,0.0,-0.0020777729190408684,0.0,0.0,0.0,0.7524000000000001,0.1584,0.0,0.1,0.0,0.0,0.0994837673636768,0.0,0.0,0.0,0.0,square,1,0.1,0.25,12,24,0.37000060081481934,0.0
1779528014.465395,0.0,0.0994837673636768,0.0,0.0,0.0,0.0,-0.0396,0.9107999999999999,-0.0396,0.0,0.1,0.0,0.0,0.0994837673636768,0.0,0.0,0.0,0.0,square,1,0.1,0.25,12,24,0.3800008296966553,0.0
1779528014.475391,0.0,0.0994837673636768,0.0,0.0,0.0,0.0,-0.0396,0.6732,-0.1584,0.0,0.1,0.0,0.0,0.0994837673636768,0.0,-0.004155545838081737,0.0,0.0,square,1,0.1,0.25,12,24,0.3900120258331299,0.0
1779528014.4853914,0.0,0.0994837673636768,0.0,-0.004155545838081737,0.0,0.0,0.0,0.9107999999999999,0.1584,0.0,0.1,0.0,0.0,0.0994837673636768,0.0,0.0,0.0020777729190408684,0.0,square,1,0.1,0.25,12,24,0.400007963180542,0.0
1779528014.4956617,0.0,0.0994837673636768,0.0,0.0,0.0020777729190408684,0.0,0.0,0.7524000000000001,-0.0792,0.0,0.1,0.0,0.0,0.0994837673636768,0.0,0.0,0.0020777729190408684,0.0,square,1,0.1,0.25,12,24,0.41000843048095703,0.0
1779528014.5053844,0.0,0.0994837673636768,0.0,0.0,0.0020777729190408684,0.0,0.0,0.7524000000000001,-0.0792,0.0,0.1,0.0,0.0,0.0994837673636768,0.0,0.0,0.0,0.0,square,1,0.1,0.25,12,24,0.42027878761291504,0.0
1779528014.515395,0.0,0.0994837673636768,0.0,0.0,0.0,0.0,0.0,0.7524000000000001,-0.1584,0.0,0.1,0.0,0.0,0.0994837673636768,0.0,0.0,0.0,0.0,square,1,0.1,0.25,12,24,0.43000149726867676,0.0
1779528014.5253916,0.0,0.0994837673636768,0.0,0.0,0.0,0.0,-0.0396,0.8712,0.0792,0.0,0.1,0.0,0.0,0.0994837673636768,0.0,0.0,0.0020777729190408684,0.0,square,1,0.1,0.25,12,24,0.44001197814941406,0.0
