t,q_0,q_1,q_2,dq_0,dq_1,dq_2,tau_0,tau_1,tau_2,cmd_0,cmd_1,cmd_2,q_next_0,q_next_1,q_next_2,dq_next_0,dq_next_1,dq_next_2,signal_type,active_joint,amplitude,frequency,combo_index,segment_id,local_t,hold_s
1779526932.8833566,0.0,0.0,0.0,0.0,0.0,0.0,-0.0396,1.4652,-0.5148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sine,0,0.1,0.25,0,0,0.0,0.0
1779526932.8935108,0.0,0.0,0.0,0.0,0.0,0.0,-0.0396,1.4652,0.27720000000000006,0.0015458659861580506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sine,0,0.1,0.25,0,0,0.009841680526733398,0.0
1779526932.903503,0.0,0.0,0.0,0.0,0.0,0.0,-0.0396,1.4652,0.27720000000000006,0.003140436565376862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684,sine,0,0.1,0.25,0,0,0.019995927810668945,0.0
1779526932.9133449,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684,-0.0792,1.3464,0.35639999999999994,0.004708770124645879,0.0,0.0,0.0,0.0,0.0,0.018699956271367814,0.0,0.0,sine,0,0.1,0.25,0,0,0.02998805046081543,0.0
1779526932.9233751,0.0,0.0,0.0,0.018699956271367814,0.0,0.0,0.198,1.5048000000000001,0.396,0.006252396088879404,0.0,0.0,0.0,0.0,0.0,0.018699956271367814,0.0,0.0,sine,0,0.1,0.25,0,0,0.03982996940612793,0.0
1779526932.9333446,0.0,0.0,0.0,0.018699956271367814,0.0,0.0,0.198,1.5048000000000001,0.396,0.007824023457519135,0.0,0.0,0.0,0.0,0.0,0.02701104794753129,-0.0020777729190408684,0.0,sine,0,0.1,0.25,0,0,0.049860239028930664,0.0
1779526932.94334,0.0,0.0,0.0,0.02701104794753129,-0.0020777729190408684,0.0,0.5940000000000001,1.5048000000000001,-0.27720000000000006,0.009384200917585597,0.0,0.0,0.0,0.0,0.0,0.04155545838081737,0.0,0.0,sine,0,0.1,0.25,0,0,0.0598297119140625,0.0
1779526932.95336,0.0,0.0,0.0,0.04155545838081737,0.0,0.0,0.9107999999999999,1.5048000000000001,-0.5544000000000001,0.010946134687638252,0.0,0.0,0.0017453292519943296,0.0,0.0,0.09765532719492082,0.0,0.0,sine,0,0.1,0.25,0,0,0.0698251724243164,0.0
1779526932.9633417,0.0017453292519943296,0.0,0.0,0.09765532719492082,0.0,0.0,0.4356,1.4255999999999998,0.2376,0.012509197246408916,0.0,0.0,0.0017453292519943296,0.0,0.0,0.09765532719492082,0.0,0.0,sine,0,0.1,0.25,0,0,0.07984519004821777,0.0
1779526932.97338,0.0017453292519943296,0.0,0.0,0.09765532719492082,0.0,0.0,0.4356,1.4255999999999998,0.2376,0.014063191363629818,0.0,0.0,0.003490658503988659,0.0,0.0,0.10804419179012516,0.0,0.0,sine,0,0.1,0.25,0,0,0.08982682228088379,0.0
1779526932.983366,0.003490658503988659,0.0,0.0,0.10804419179012516,0.0,0.0,0.4752,1.4255999999999998,-0.3168,0.01562253222090147,0.0,0.0,0.003490658503988659,0.0,0.0,0.12051082930437036,-0.0020777729190408684,0.0,sine,0,0.1,0.25,0,0,0.09986519813537598,0.0
1779526932.9933434,0.003490658503988659,0.0,0.0,0.12051082930437036,-0.0020777729190408684,0.0,0.3168,1.4652,0.3168,0.01716987207022583,0.0,0.0,0.006981317007977318,0.0,0.0,0.10804419179012516,0.0,0.0,sine,0,0.1,0.25,0,0,0.10985112190246582,0.0
1779526933.0033154,0.006981317007977318,0.0,0.0,0.10804419179012516,0.0,0.0,0.4752,1.4255999999999998,-0.4752,0.018711663017584555,0.0,0.0,0.006981317007977318,0.0,0.0,0.11635528346628862,0.0,0.0,sine,0,0.1,0.25,0,0,0.11982846260070801,0.0
1779526933.0133903,0.006981317007977318,0.0,0.0,0.11635528346628862,0.0,0.0,0.4752,1.4255999999999998,0.2376,0.020248051192315288,0.0,0.0,0.006981317007977318,0.0,0.0,0.11635528346628862,0.0,0.0,sine,0,0.1,0.25,0,0,0.12980055809020996,0.0
1779526933.023398,0.006981317007977318,0.0,0.0,0.11635528346628862,0.0,0.0,0.4752,1.4255999999999998,0.2376,0.021795224797498937,0.0,0.0,0.010471975511965978,0.0,0.0,0.14752187725190166,0.0,0.0,sine,0,0.1,0.25,0,0,0.1398754119873047,0.0
1779526933.033322,0.010471975511965978,0.0,0.0,0.14752187725190166,0.0,0.0,0.0396,1.4255999999999998,-0.27720000000000006,0.023326670333002827,0.0,0.0,0.012217304763960306,0.0,0.0,0.1433663314138199,-0.0020777729190408684,0.0,sine,0,0.1,0.25,0,0,0.14988303184509277,0.0
1779526933.0433583,0.012217304763960306,0.0,0.0,0.1433663314138199,-0.0020777729190408684,0.0,0.198,1.4652,-0.2376,0.024839654872026204,0.0,0.0,0.012217304763960306,0.0,0.0,0.1433663314138199,-0.0020777729190408684,0.0,sine,0,0.1,0.25,0,0,0.1598072052001953,0.0
1779526933.0533793,0.012217304763960306,0.0,0.0,0.1433663314138199,-0.0020777729190408684,0.0,0.198,1.4652,-0.2376,0.026363582715189477,0.0,0.0,0.013962634015954637,0.0,0.0,0.1433663314138199,0.0,0.0,sine,0,0.1,0.25,0,0,0.16984343528747559,0.0
1779526933.0633438,0.013962634015954637,0.0,0.0,0.1433663314138199,0.0,0.0,0.5940000000000001,1.5048000000000001,0.4356,0.027878656710896677,0.0,0.0,0.015707963267948967,0.0,0.0,0.1433663314138199,-0.0020777729190408684,0.0,sine,0,0.1,0.25,0,0,0.17986440658569336,0.0
1779526933.0732732,0.015707963267948967,0.0,0.0,0.1433663314138199,-0.0020777729190408684,0.0,0.6732,1.3860000000000001,-0.4356,0.029378339155771302,0.0,0.0,0.017453292519943295,0.0,0.0,0.1516774230899834,0.0,0.0,sine,0,0.1,0.25,0,0,0.18982887268066406,0.0
1779526933.0833473,0.017453292519943295,0.0,0.0,0.1516774230899834,0.0,0.0,0.2376,1.3068,0.2376,0.030865587951363595,0.0,0.0,0.017453292519943295,0.0,0.0,0.1516774230899834,0.0,0.0,sine,0,0.1,0.25,0,0,0.19975829124450684,0.0
1779526933.0933301,0.017453292519943295,0.0,0.0,0.1516774230899834,0.0,0.0,0.2376,1.3068,0.2376,0.032366837979215766,0.0,0.0,0.020943951023931956,0.0,0.0,0.14544410433286079,0.0020777729190408684,0.0,sine,0,0.1,0.25,0,0,0.20983242988586426,0.0
1779526933.1033425,0.020943951023931956,0.0,0.0,0.14544410433286079,0.0020777729190408684,0.0,0.27720000000000006,1.4255999999999998,-0.396,0.033846486426262416,0.0,0.0,0.020943951023931956,0.0,0.0,0.14544410433286079,0.0020777729190408684,0.0,sine,0,0.1,0.25,0,0,0.21981525421142578,0.0
1779526933.1134067,0.020943951023931956,0.0,0.0,0.14544410433286079,0.0020777729190408684,0.0,0.27720000000000006,1.4255999999999998,-0.396,0.035322157000077445,0.0,0.0,0.022689280275926284,0.0,0.0,0.15583296892806514,0.0,0.0,sine,0,0.1,0.25,0,0,0.2298276424407959,0.0
1779526933.1233456,0.022689280275926284,0.0,0.0,0.15583296892806514,0.0,0.0,-0.0396,1.4255999999999998,-0.396,0.03679664749394187,0.0,0.0,0.02617993877991494,0.0,0.0,0.1433663314138199,0.0,0.0,sine,0,0.1,0.25,0,0,0.23989176750183105,0.0
1779526933.1333194,0.02617993877991494,0.0,0.0,0.1433663314138199,0.0,0.0,0.6732,1.3860000000000001,-0.35639999999999994,0.038243775928105184,0.0,0.0,0.027925268031909273,0.0,0.0,0.1516774230899834,0.0,0.0,sine,0,0.1,0.25,0,0,0.2498307228088379,0.0
1779526933.143377,0.027925268031909273,0.0,0.0,0.1516774230899834,0.0,0.0,0.3168,1.3464,-0.3168,0.0396866019604884,0.0,0.0,0.027925268031909273,0.0,0.0,0.1516774230899834,0.0,0.0,sine,0,0.1,0.25,0,0,0.25980448722839355,0.0
1779526933.1533577,0.027925268031909273,0.0,0.0,0.1516774230899834,0.0,0.0,0.3168,1.3464,-0.3168,0.041131703468953146,0.0,0.0,0.027925268031909273,0.0,0.0,0.14752187725190166,0.0,0.0,sine,0,0.1,0.25,0,0,0.26986217498779297,0.0
1779526933.1633594,0.027925268031909273,0.0,0.0,0.14752187725190166,0.0,0.0,0.3168,1.5048000000000001,-0.396,0.04255559264960897,0.0,0.0,0.029670597283903605,0.0,0.0,0.15375519600902426,-0.0020777729190408684,0.0,sine,0,0.1,0.25,0,0,0.2798428535461426,0.0
1779526933.1733892,0.029670597283903605,0.0,0.0,0.15375519600902426,-0.0020777729190408684,0.0,0.0792,1.3068,-0.4356,0.04397198238251025,0.0,0.0,0.031415926535897934,0.0,0.0,0.13921078557573818,0.0,-0.0020777729190408684,sine,0,0.1,0.25,0,0,0.2898445129394531,0.0
1779526933.183385,0.031415926535897934,0.0,0.0,0.13921078557573818,0.0,-0.0020777729190408684,0.4752,1.4652,0.4752,0.04538145704698531,0.0,0.0,0.03316125578789226,0.0,0.0,0.14128855849477906,0.0,-0.0020777729190408684,sine,0,0.1,0.25,0,0,0.29987430572509766,0.0
1779526933.1933458,0.03316125578789226,0.0,0.0,0.14128855849477906,0.0,-0.0020777729190408684,0.27720000000000006,1.4652,0.35639999999999994,0.04677493429123513,0.0,0.0,0.03665191429188092,0.0,0.0,0.14128855849477906,0.0,0.0,sine,0,0.1,0.25,0,0,0.30987000465393066,0.0
1779526933.2033157,0.03665191429188092,0.0,0.0,0.14128855849477906,0.0,0.0,0.198,1.3464,0.396,0.04815208834625387,0.0,0.0,0.038397243543875255,0.0,0.0,0.13921078557573818,0.0,0.0,sine,0,0.1,0.25,0,0,0.31983089447021484,0.0
1779526933.213321,0.038397243543875255,0.0,0.0,0.13921078557573818,0.0,0.0,0.5148,1.4652,0.27720000000000006,0.0495186907407176,0.0,0.0,0.038397243543875255,0.0,0.0,0.13921078557573818,0.0,0.0,sine,0,0.1,0.25,0,0,0.3298008441925049,0.0
1779526933.2233524,0.038397243543875255,0.0,0.0,0.13921078557573818,0.0,0.0,0.6336,1.3464,-0.35639999999999994,0.050877920233875024,0.0,0.0,0.038397243543875255,0.0,0.0,0.13921078557573818,0.0,0.0,sine,0,0.1,0.25,0,0,0.33980607986450195,0.0
