t,q_0,q_1,q_2,dq_0,dq_1,dq_2,cmd_0,cmd_1,cmd_2,q_next_0,q_next_1,q_next_2,dq_next_0,dq_next_1,dq_next_2
1777275157.9354947,0.0,0.0,0.0,0.0,0.0,0.0,-0.05498511998706808,-0.0068192846110038665,-0.07396338723324207,0.0,0.0,0.0,0.0,0.0,0.0
1777275157.9454322,0.0,0.0,0.0,0.0,0.0,0.0,-0.05498511998706808,-0.0068192846110038665,-0.07396338723324207,0.0,0.0,0.0,0.0,0.0,0.0
1777275157.9554675,0.0,0.0,0.0,0.0,0.0,0.0,-0.05498511998706808,-0.0068192846110038665,-0.07396338723324207,0.0,0.0,0.0,-0.004155545838081737,0.0,-0.006233318757122605
1777275157.9655004,0.0,0.0,0.0,-0.004155545838081737,0.0,-0.006233318757122605,-0.05498511998706808,-0.0068192846110038665,-0.07396338723324207,0.0,0.0,0.0,-0.004155545838081737,0.0,-0.006233318757122605
1777275157.9754927,0.0,0.0,0.0,-0.004155545838081737,0.0,-0.006233318757122605,-0.05498511998706808,-0.0068192846110038665,-0.07396338723324207,0.0,0.0,0.0,-0.004155545838081737,0.0,-0.006233318757122605
1777275157.9854815,0.0,0.0,0.0,-0.004155545838081737,0.0,-0.006233318757122605,-0.05498511998706808,-0.0068192846110038665,-0.07396338723324207,0.0,0.0,0.0,-0.004155545838081737,0.0,-0.006233318757122605
1777275157.9955063,0.0,0.0,0.0,-0.004155545838081737,0.0,-0.006233318757122605,-0.05498511998706808,-0.0068192846110038665,-0.07396338723324207,0.0,0.0,0.0,-0.004155545838081737,0.0,-0.006233318757122605
1777275158.0054896,0.0,0.0,0.0,-0.004155545838081737,0.0,-0.006233318757122605,-0.05498511998706808,-0.0068192846110038665,-0.07396338723324207,0.0,0.0,0.0,-0.004155545838081737,0.0,-0.006233318757122605
1777275158.0155015,0.0,0.0,0.0,-0.004155545838081737,0.0,-0.006233318757122605,-0.05498511998706808,-0.0068192846110038665,-0.07396338723324207,0.0,0.0,0.0,-0.004155545838081737,0.0,-0.006233318757122605
1777275158.0252886,0.0,0.0,0.0,-0.004155545838081737,0.0,-0.006233318757122605,-0.05498511998706808,-0.0068192846110038665,-0.07396338723324207,-0.04014257279586959,-0.003490658503988659,-0.054105206811824215,-0.33036589412749806,-0.05402209589506258,-0.425943448403378
1777275158.0355031,-0.04014257279586959,-0.003490658503988659,-0.054105206811824215,-0.33036589412749806,-0.05402209589506258,-0.425943448403378,-0.05498511998706808,-0.0068192846110038665,-0.07396338723324207,-0.04363323129985824,-0.005235987755982989,-0.05759586531581287,-0.26803270655627204,-0.035322139623694765,-0.3739991254273563
1777275158.0455232,-0.04363323129985824,-0.005235987755982989,-0.05759586531581287,-0.26803270655627204,-0.035322139623694765,-0.3739991254273563,-0.05498511998706808,-0.0068192846110038665,-0.07396338723324207,-0.04363323129985824,-0.005235987755982989,-0.05759586531581287,-0.26803270655627204,-0.035322139623694765,-0.3739991254273563
1777275158.0552883,-0.04363323129985824,-0.005235987755982989,-0.05759586531581287,-0.26803270655627204,-0.035322139623694765,-0.3739991254273563,-0.05498511998706808,-0.0068192846110038665,-0.07396338723324207,-0.047123889803846894,-0.005235987755982989,-0.06283185307179587,-0.19323288147080075,-0.033244366704653895,-0.2617993877991494
1777275158.0654674,-0.047123889803846894,-0.005235987755982989,-0.06283185307179587,-0.19323288147080075,-0.033244366704653895,-0.2617993877991494,-0.05498511998706808,-0.0068192846110038665,-0.07396338723324207,-0.047123889803846894,-0.005235987755982989,-0.06283185307179587,-0.19323288147080075,-0.033244366704653895,-0.2617993877991494
1777275158.075502,-0.047123889803846894,-0.005235987755982989,-0.06283185307179587,-0.19323288147080075,-0.033244366704653895,-0.2617993877991494,-0.05498511998706808,-0.0068192846110038665,-0.07396338723324207,-0.047123889803846894,-0.005235987755982989,-0.06283185307179587,-0.19323288147080075,-0.033244366704653895,-0.2617993877991494
1777275158.085488,-0.047123889803846894,-0.005235987755982989,-0.06283185307179587,-0.19323288147080075,-0.033244366704653895,-0.2617993877991494,-0.05498511998706808,-0.0068192846110038665,-0.07396338723324207,-0.047123889803846894,-0.005235987755982989,-0.06283185307179587,-0.19323288147080075,-0.033244366704653895,-0.2617993877991494
1777275158.0952883,-0.047123889803846894,-0.005235987755982989,-0.06283185307179587,-0.19323288147080075,-0.033244366704653895,-0.2617993877991494,-0.05498511998706808,-0.0068192846110038665,-0.07396338723324207,-0.050614548307835565,-0.005235987755982989,-0.06981317007977318,-0.07272205216643039,-0.006233318757122605,-0.12258860222341124
1777275158.105506,-0.050614548307835565,-0.005235987755982989,-0.06981317007977318,-0.07272205216643039,-0.006233318757122605,-0.12258860222341124,-0.05498511998706808,-0.0068192846110038665,-0.07396338723324207,-0.05235987755982988,-0.005235987755982989,-0.06981317007977318,-0.05402209589506258,-0.004155545838081737,-0.09765532719492082
1777275158.1153998,-0.05235987755982988,-0.005235987755982989,-0.06981317007977318,-0.05402209589506258,-0.004155545838081737,-0.09765532719492082,-0.05498511998706808,-0.0068192846110038665,-0.07396338723324207,-0.05235987755982988,-0.005235987755982989,-0.06981317007977318,-0.05402209589506258,-0.004155545838081737,-0.09765532719492082
