t,q_0,q_1,q_2,dq_0,dq_1,dq_2,tau_0,tau_1,tau_2,cmd_0,cmd_1,cmd_2,q_next_0,q_next_1,q_next_2,dq_next_0,dq_next_1,dq_next_2
1779611378.342951,0.0,0.0,0.0,0.0,0.0,0.0,-0.1584,1.4652,0.4356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779611378.3528879,0.0,0.0,0.0,0.0,0.0,0.0,-0.1584,1.4652,0.4356,0.0015688204828378464,0.0,0.0,0.0,0.0,0.0,-0.0020777729190408684,-0.0020777729190408684,0.0
1779611378.3630116,0.0,0.0,0.0,-0.0020777729190408684,-0.0020777729190408684,0.0,-0.1584,1.3068,0.27720000000000006,0.0031292443087343976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779611378.373034,0.0,0.0,0.0,0.0,0.0,0.0,0.1584,1.4255999999999998,0.2376,0.004718234621221308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779611378.3829281,0.0,0.0,0.0,0.0,0.0,0.0,0.1584,1.5444,0.396,0.006290146844139689,0.0,0.0,0.0,0.0,0.0,0.004155545838081737,0.0,0.0020777729190408684
1779611378.3930757,0.0,0.0,0.0,0.004155545838081737,0.0,0.0020777729190408684,0.0792,1.5444,0.27720000000000006,0.007840413811357113,0.0,0.0,0.0,0.0,0.0,0.022855502109449553,0.0,-0.0020777729190408684
1779611378.4030933,0.0,0.0,0.0,0.022855502109449553,0.0,-0.0020777729190408684,0.2376,1.5048000000000001,-0.396,0.009428420518376158,0.0,0.0,0.0,0.0,0.0,0.020777729190408684,0.0,0.0
1779611378.4129412,0.0,0.0,0.0,0.020777729190408684,0.0,0.0,0.5544000000000001,1.4652,0.3168,0.010993745053771518,0.0,0.0,0.0,0.0,0.0,0.031166593785613025,0.0,0.0
1779611378.4230704,0.0,0.0,0.0,0.031166593785613025,0.0,0.0,0.99,1.584,0.35639999999999994,0.012529893163071924,0.0,0.0,0.0017453292519943296,0.0,0.0,0.07687759800451213,0.0,0.0
1779611378.4330797,0.0017453292519943296,0.0,0.0,0.07687759800451213,0.0,0.0,0.9504,1.5048000000000001,0.4752,0.014106794332967604,0.0,0.0,0.0017453292519943296,0.0,0.0,0.11012196470916602,0.0020777729190408684,0.0
