t,q_0,q_1,q_2,dq_0,dq_1,dq_2,tau_0,tau_1,tau_2,cmd_0,cmd_1,cmd_2,q_next_0,q_next_1,q_next_2,dq_next_0,dq_next_1,dq_next_2
1777971294.5101984,0.0,0.0,0.0,0.0,0.0,0.0,0.27720000000000006,1.4255999999999998,-0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020777729190408684
1777971294.5200493,0.0,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.2376,1.5048000000000001,-0.1584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777971294.5300179,0.0,0.0,0.0,0.0,0.0,0.0,-0.2376,1.5048000000000001,-0.27720000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0
1777971294.5400543,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0,0.198,1.4255999999999998,-0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0
1777971294.5501091,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0,0.198,1.4255999999999998,-0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684
1777971294.560071,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684,0.198,1.5444,0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777971294.5700173,0.0,0.0,0.0,0.0,0.0,0.0,-0.2376,1.584,-0.3168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0
1777971294.5800126,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0,0.2376,1.4255999999999998,-0.1188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777971294.5899909,0.0,0.0,0.0,0.0,0.0,0.0,-0.198,1.4652,-0.1584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0
1777971294.6001277,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0,0.198,1.5444,-0.3168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0
1777971294.6099932,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0,0.27720000000000006,1.4652,-0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777971294.620176,0.0,0.0,0.0,0.0,0.0,0.0,0.27720000000000006,1.4652,0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777971294.630163,0.0,0.0,0.0,0.0,0.0,0.0,-0.198,1.584,-0.2376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684
1777971294.6401043,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684,0.27720000000000006,1.4652,0.27720000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777971294.6500099,0.0,0.0,0.0,0.0,0.0,0.0,0.2376,1.5444,-0.1584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684,0.0
1777971294.6600413,0.0,0.0,0.0,0.0,0.0020777729190408684,0.0,0.2376,1.4652,0.1188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777971294.670022,0.0,0.0,0.0,0.0,0.0,0.0,0.2376,1.5444,-0.35639999999999994,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0,0.0
1777971294.6799982,0.0,0.0,0.0,-0.0020777729190408684,0.0,0.0,-0.2376,1.3860000000000001,0.1188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777971294.6899939,0.0,0.0,0.0,0.0,0.0,0.0,0.2376,1.584,-0.1584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684
1777971294.7005203,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684,0.27720000000000006,1.4255999999999998,0.2376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777971294.709984,0.0,0.0,0.0,0.0,0.0,0.0,0.27720000000000006,1.5444,0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777971294.720015,0.0,0.0,0.0,0.0,0.0,0.0,0.2376,1.3860000000000001,-0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777971294.729973,0.0,0.0,0.0,0.0,0.0,0.0,0.2376,1.5444,-0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684,0.0,0.0
1777971294.7400165,0.0,0.0,0.0,0.0020777729190408684,0.0,0.0,0.2376,1.4652,-0.27720000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777971294.7500107,0.0,0.0,0.0,0.0,0.0,0.0,-0.2376,1.4255999999999998,-0.1188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777971294.7600014,0.0,0.0,0.0,0.0,0.0,0.0,0.27720000000000006,1.5444,0.2376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0
1777971294.7700765,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0,0.2376,1.4255999999999998,-0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684,0.0
1777971294.7801712,0.0,0.0,0.0,0.0,0.0020777729190408684,0.0,0.27720000000000006,1.3860000000000001,-0.1584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777971294.7900252,0.0,0.0,0.0,0.0,0.0,0.0,0.27720000000000006,1.5048000000000001,-0.1188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777971294.7999687,0.0,0.0,0.0,0.0,0.0,0.0,0.27720000000000006,1.4652,-0.1584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684,0.0
1777971294.810172,0.0,0.0,0.0,0.0,0.0020777729190408684,0.0,0.2376,1.584,-0.1584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0
